"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"e522445",46,28,61,"75da292e-940f-44e1-b5a8-03b5914e4e6e","Vevey","fb8dd79d-9444-4e18-8ba4-9194129ba744","2021-04-16 15:36:00+00","2021-04-16 15:36:00+00"
"E517885",32,13,41,"7d38d0fa-5559-4083-9565-b4457a106478","Bern Bümpliz Süd","39ec576f-2d28-4540-b953-829cb6abf6ed","2021-04-27 06:31:00+00","2021-04-27 06:31:00+00"
"ue86332",20,10,50,"765b6e39-0d2e-4b04-abc7-fb70b40e6d99","Luzern Taxihalle","325df679-8380-4e35-923e-8a033824d7e8","2021-06-03 08:12:00+00","2021-06-03 08:12:00+00"
"e522446",71,17,24,"c8c7f6ca-150c-4f55-9f6c-8b77dd4504a8","Bussigny","1c503ed4-5dc0-45b3-95f7-6f48ffb7c514","2021-07-23 06:38:00+00","2021-07-23 06:38:00+00"
"E535775",53,13,25,"36a8e400-c27a-492f-9362-42ae4030e60b","Maroggia-Melano","45ba8bb5-6294-4dea-bd0c-45a9d40f68c1","2021-08-18 08:26:00+00","2021-08-18 08:26:00+00"
"E527708",39,39,100,"b8af5973-68ad-4f04-8429-adac21d399a1","St. Gallen","770902e1-78ae-4e06-b9bf-7c7fbd7a8ff1","2021-08-24 08:06:00+00","2021-08-24 08:06:00+00"
"E504344",42,22,52,"49abee66-9775-42a9-9c44-804abe2a2386","Bern Kiss+Rail","52a1cefd-a128-41ba-81a8-b61a8f5d9e00","2021-08-24 16:04:00+00","2021-08-24 16:04:00+00"
"E535775",37,10,27,"ff51377f-6e0c-4a4d-ab54-1fb3d1c7d6e0","Lamone-Cadempino","65bc9392-f37f-4649-99a0-07ba728f20bd","2021-08-25 06:27:00+00","2021-08-25 06:27:00+00"
"E518793",164,84,51,"e511d897-336a-45a7-b32b-989934a51846","Gland","caaad5ea-88c9-4579-8d90-e827921ebf70","2021-08-31 06:53:00+00","2021-08-31 06:53:00+00"
"E535775",79,79,100,"0b6f082a-08cf-4ff4-ab38-a2df1bfcfe19","Lugano","af994817-1a2e-418e-8b8c-44349573a574","2021-09-02 08:26:00+00","2021-09-02 08:26:00+00"
"E535775",31,8,26,"c097733e-b5a8-44ff-8ef4-431a09181090","Mezzovico","152fe3ba-34d8-406d-953f-db8468be27e7","2021-09-02 09:21:00+00","2021-09-02 09:21:00+00"
"E535775",79,76,96,"0b6f082a-08cf-4ff4-ab38-a2df1bfcfe19","Lugano","32082758-417d-48d0-a149-fe25da6cb151","2021-09-08 06:33:00+00","2021-09-08 06:33:00+00"
"u221098",29,14,48,"d0929b1b-8d11-459f-86c3-4cddc27f1482","Hasle-Rüegsau (BLS)","e694c2c6-9893-4565-8223-2ad0a7370960","2021-09-10 12:32:08.758423+00","2021-09-10 12:32:08.758397+00"
"e528191",27,9,33,"5c3c676a-ea3c-4fa8-8fac-f1f7c91def4b","Rüschlikon","61abfbe9-c24a-422c-8101-3e151064e0d8","2021-09-12 12:00:00+00","2021-09-12 12:00:00+00"
"e528191",27,9,33,"5c3c676a-ea3c-4fa8-8fac-f1f7c91def4b","Rüschlikon","192cb945-ae85-48e0-b38b-d532a0248f0a","2021-09-12 12:10:00+00","2021-09-12 12:10:00+00"
"u223801",8,5,63,"6e0102bb-4792-4648-adf6-eb572862c779","Mörschwil","c888ab76-f564-4563-b0d3-2f7d66ee91d3","2020-09-21 12:41:00+00","2020-09-21 12:41:00+00"
"U201186",72,34,47,"5d1fa595-78db-44f7-863a-0834a98c18a5","Suberg-Grossaffoltern","9c86a5b2-a011-4b07-ab6d-066854cb5e39","2020-12-01 12:09:00+00","2020-12-01 12:09:00+00"
"ue08618",142,26,18,"cd0b44a2-d2e4-4318-8ff1-eafb2fde15af","Turgi","703c1fc4-d494-4a02-a72a-37b1b1d1d586","2021-03-03 10:29:00+00","2021-03-03 10:29:00+00"
"ue30420",88,2,2,"6c1db299-8f0e-4301-8905-d46e77cd90a0","Gelterkinden","55c78a7c-d83a-49bf-b8c8-da25f8bffb98","2021-03-07 07:47:00+00","2021-03-07 07:47:00+00"
"u223758",135,117,87,"d62d04e4-90a3-4dd7-a190-a6a7810c1639","Zürich Tiefenbrunnen","08ed8873-978d-4361-be2c-13ff06f8ebd4","2020-10-18 11:45:00+00","2020-10-18 11:45:00+00"
