category,Auslastung
Fri Jan 01 2021,0.96
Fri Jan 01 2021,4.73
Fri Jan 01 2021,4.69
Fri Jan 01 2021,4.69
Fri Jan 01 2021,4.69
Fri Jan 01 2021,4.06
Fri Jan 01 2021,0.67
Fri Jan 01 2021,2.21
Fri Jan 01 2021,4.61
Fri Jan 01 2021,4.88
Fri Jan 01 2021,4.64
Fri Jan 01 2021,3.75
Fri Jan 01 2021,3.17
Fri Jan 01 2021,3.99
Fri Jan 01 2021,5.82
Fri Jan 01 2021,5.58
Fri Jan 01 2021,4.34
Fri Jan 01 2021,3.03
Fri Jan 01 2021,2.45
Fri Jan 01 2021,2.92
Fri Jan 01 2021,3.94
Fri Jan 01 2021,4.15
Fri Jan 01 2021,3.36
Fri Jan 01 2021,2.58
Sat Jan 02 2021,2.4
Sat Jan 02 2021,3.99
Sat Jan 02 2021,3.91
Sat Jan 02 2021,3.91
Sat Jan 02 2021,3.91
Sat Jan 02 2021,4.44
Sat Jan 02 2021,3.42
Sat Jan 02 2021,3.97
Sat Jan 02 2021,4.76
Sat Jan 02 2021,5.31
Sat Jan 02 2021,5.83
Sat Jan 02 2021,6.64
Sat Jan 02 2021,7.18
Sat Jan 02 2021,8.2
Sat Jan 02 2021,8.66
Sat Jan 02 2021,8.21
Sat Jan 02 2021,6.56
Sat Jan 02 2021,5.9
Sat Jan 02 2021,5.47
Sat Jan 02 2021,4.46
Sat Jan 02 2021,3.8
Sat Jan 02 2021,2.48
Sat Jan 02 2021,2.6
Sat Jan 02 2021,2.54
Sun Jan 03 2021,2.34
Sun Jan 03 2021,5.42
Sun Jan 03 2021,5.47
Sun Jan 03 2021,5.47
Sun Jan 03 2021,5.47
Sun Jan 03 2021,5.03
Sun Jan 03 2021,2.87
Sun Jan 03 2021,3.81
Sun Jan 03 2021,4.06
Sun Jan 03 2021,4.53
Sun Jan 03 2021,5.54
Sun Jan 03 2021,7.09
Sun Jan 03 2021,7.59
Sun Jan 03 2021,6.15
Sun Jan 03 2021,5.49
Sun Jan 03 2021,6.22
Sun Jan 03 2021,6.19
Sun Jan 03 2021,5.35
Sun Jan 03 2021,3.8
Sun Jan 03 2021,2.49
Sun Jan 03 2021,2.67
Sun Jan 03 2021,2.42
Sun Jan 03 2021,2.34
Sun Jan 03 2021,2.42
Mon Jan 04 2021,2.34
Mon Jan 04 2021,5.72
Mon Jan 04 2021,5.49
Mon Jan 04 2021,5.47
Mon Jan 04 2021,6.21
Mon Jan 04 2021,4.73
Mon Jan 04 2021,11.81
Mon Jan 04 2021,27.43
Mon Jan 04 2021,42.69
Mon Jan 04 2021,47.94
Mon Jan 04 2021,48.32
Mon Jan 04 2021,50.13
Mon Jan 04 2021,45.12
Mon Jan 04 2021,43.44
Mon Jan 04 2021,47.23
Mon Jan 04 2021,47.1
Mon Jan 04 2021,40.36
Mon Jan 04 2021,25.1
Mon Jan 04 2021,14.13
Mon Jan 04 2021,6.76
Mon Jan 04 2021,4.58
Mon Jan 04 2021,3.56
Mon Jan 04 2021,3.65
Mon Jan 04 2021,4
Tue Jan 05 2021,3.28
Tue Jan 05 2021,3.13
Tue Jan 05 2021,3.13
Tue Jan 05 2021,3.13
Tue Jan 05 2021,3.13
Tue Jan 05 2021,4.09
Tue Jan 05 2021,10.29
Tue Jan 05 2021,24.22
Tue Jan 05 2021,39.89
Tue Jan 05 2021,47.28
Tue Jan 05 2021,51.88
Tue Jan 05 2021,53.31
Tue Jan 05 2021,50.69
Tue Jan 05 2021,52.93
Tue Jan 05 2021,51.27
Tue Jan 05 2021,51.85
Tue Jan 05 2021,48.59
Tue Jan 05 2021,37
Tue Jan 05 2021,22.06
Tue Jan 05 2021,12.37
Tue Jan 05 2021,6.53
