,12h,24h,7d,date
0,4.83956,,,2021-08-16 22:00:00
1,3.8950682,,,2021-08-16 23:00:00
2,5.12149,,,2021-08-17 00:00:00
3,5.4925,,,2021-08-17 01:00:00
4,5.3397655,,,2021-08-17 02:00:00
5,5.1482716,,,2021-08-17 03:00:00
6,5.3250237,,,2021-08-17 04:00:00
7,12.048746,,,2021-08-17 05:00:00
8,27.97459,,,2021-08-17 06:00:00
9,44.791637,,,2021-08-17 07:00:00
10,53.525257,,,2021-08-17 08:00:00
11,58.035717,,,2021-08-17 09:00:00
12,58.454693,58.75239,,2021-08-17 10:00:00
13,57.98428,58.112606,,2021-08-17 11:00:00
14,56.406403,59.02188,,2021-08-17 12:00:00
15,59.10666,59.976063,,2021-08-17 13:00:00
16,58.709057,58.102886,,2021-08-17 14:00:00
17,54.103607,53.107803,,2021-08-17 15:00:00
18,44.281784,41.486885,,2021-08-17 16:00:00
19,30.080872,29.570177,,2021-08-17 17:00:00
20,18.722368,18.531307,,2021-08-17 18:00:00
21,10.530952,11.410778,,2021-08-17 19:00:00
22,8.633329,7.71963,,2021-08-17 20:00:00
23,7.0101075,7.2016926,,2021-08-17 21:00:00
24,5.5937147,5.5918617,,2021-08-17 22:00:00
25,4.209912,4.066305,,2021-08-17 23:00:00
26,4.8536596,4.848217,,2021-08-18 00:00:00
27,5.10846,5.3975544,,2021-08-18 01:00:00
28,5.3772936,5.3517156,,2021-08-18 02:00:00
29,5.5611315,4.7088714,,2021-08-18 03:00:00
30,5.400016,5.083936,,2021-08-18 04:00:00
31,11.37067,12.509897,,2021-08-18 05:00:00
32,26.022982,26.022982,,2021-08-18 06:00:00
33,43.61466,43.356964,,2021-08-18 07:00:00
34,47.98418,47.522797,,2021-08-18 08:00:00
35,49.427986,54.18627,,2021-08-18 09:00:00
36,50.972187,57.420097,,2021-08-18 10:00:00
37,56.881218,57.548283,,2021-08-18 11:00:00
38,51.229053,54.898308,,2021-08-18 12:00:00
39,52.221848,59.523766,,2021-08-18 13:00:00
40,52.04771,58.219208,,2021-08-18 14:00:00
41,49.737743,53.721237,,2021-08-18 15:00:00
42,40.569984,40.61844,,2021-08-18 16:00:00
43,30.807043,28.729475,,2021-08-18 17:00:00
44,19.509312,22.163328,,2021-08-18 18:00:00
45,14.404439,14.151703,,2021-08-18 19:00:00
46,10.060975,10.471199,,2021-08-18 20:00:00
47,7.5243444,8.088076,,2021-08-18 21:00:00
48,5.0208397,6.39059,,2021-08-18 22:00:00
49,4.838939,4.198982,,2021-08-18 23:00:00
50,4.703034,5.5374856,,2021-08-19 00:00:00
51,4.4145927,5.968939,,2021-08-19 01:00:00
52,5.0696654,6.153464,,2021-08-19 02:00:00
53,6.7305365,6.024692,,2021-08-19 03:00:00
54,7.054002,5.6540885,,2021-08-19 04:00:00
55,10.264069,10.845274,,2021-08-19 05:00:00
56,23.293514,23.259665,,2021-08-19 06:00:00
57,37.99309,36.748386,,2021-08-19 07:00:00
58,43.46758,40.782078,,2021-08-19 08:00:00
59,46.84738,47.174183,,2021-08-19 09:00:00
60,48.41269,50.008358,,2021-08-19 10:00:00
61,51.11023,49.595695,,2021-08-19 11:00:00
62,52.561165,53.71609,,2021-08-19 12:00:00
63,52.483788,52.37732,,2021-08-19 13:00:00
64,50.193115,55.09715,,2021-08-19 14:00:00
65,49.535633,45.773804,,2021-08-19 15:00:00
66,37.886345,37.26732,,2021-08-19 16:00:00
67,26.175201,24.929867,,2021-08-19 17:00:00
68,20.034916,20.077599,,2021-08-19 18:00:00
69,15.031449,12.573925,,2021-08-19 19:00:00
70,13.198314,10.074142,,2021-08-19 20:00:00
71,8.695398,7.1408744,,2021-08-19 21:00:00
72,4.7434626,5.138611,,2021-08-19 22:00:00
73,5.2900305,3.9601316,,2021-08-19 23:00:00
74,5.4462805,4.699728,,2021-08-20 00:00:00
75,5.506507,4.722005,,2021-08-20 01:00:00
76,5.525249,5.4185743,,2021-08-20 02:00:00
77,5.147164,5.5037107,,2021-08-20 03:00:00
78,5.6095,5.753163,,2021-08-20 04:00:00
79,10.616783,10.534329,,2021-08-20 05:00:00
80,24.130215,19.36196,,2021-08-20 06:00:00
81,30.621628,30.038307,,2021-08-20 07:00:00
82,44.616238,41.42749,,2021-08-20 08:00:00
83,48.572304,48.050137,,2021-08-20 09:00:00
84,50.475563,55.067703,,2021-08-20 10:00:00
85,49.7069,49.70003,,2021-08-20 11:00:00
86,48.222176,50.619038,,2021-08-20 12:00:00
87,51.64485,52.159454,,2021-08-20 13:00:00
88,49.762882,51.977627,,2021-08-20 14:00:00
