date,t-7,t-3,t-2,t-1,temperature_t-7,temperature_t-3,temperature_t-2,temperature_t-1,weather_t-7,weather_t-3,weather_t-2,weather_t-1,sales_t-7,sales_t-3,sales_t-2,sales_t-1,occupancy_rate,date_only,hour,day_of_week,day_name,quarter,month,day_of_year,day_of_month,week_of_year,temperature,weather,holiday
2020-06-01 21:00:00,96.68874172185431,94.70198675496688,92.3841059602649,87.41721854304633,277.75,276.29,275.57,275.37,Clouds,Rain,Rain,Rain,1.0,2.0,0.0,0.0,61.92052980132448,2020-06-01,21,0,Monday,2,6,153,1,23,275.3,Rain,1
2020-06-01 22:00:00,97.01986754966887,92.3841059602649,87.41721854304633,61.92052980132448,277.38,275.57,275.37,275.3,Clouds,Rain,Rain,Rain,1.0,0.0,0.0,1.0,32.11920529801324,2020-06-01,22,0,Monday,2,6,153,1,23,274.9,Rain,1
2020-06-01 23:00:00,96.68874172185431,87.41721854304633,61.92052980132448,32.11920529801324,276.22,275.37,275.3,274.9,Clouds,Rain,Rain,Rain,0.0,0.0,1.0,0.0,18.874172185430474,2020-06-01,23,0,Monday,2,6,153,1,23,275.14,Rain,1
2020-06-02 00:00:00,95.36423841059604,61.92052980132448,32.11920529801324,18.874172185430474,276.29,275.3,274.9,275.14,Clouds,Rain,Rain,Rain,1.0,1.0,0.0,0.0,14.569536423841056,2020-06-02,0,1,Tuesday,2,6,154,2,23,274.97,Rain,0
2020-06-02 01:00:00,94.70198675496688,32.11920529801324,18.874172185430474,14.569536423841056,276.29,274.9,275.14,274.97,Rain,Rain,Rain,Rain,2.0,0.0,0.0,0.0,11.920529801324504,2020-06-02,1,1,Tuesday,2,6,154,2,23,274.49,Rain,0
2020-06-02 02:00:00,92.3841059602649,18.874172185430474,14.569536423841056,11.920529801324504,275.57,275.14,274.97,274.49,Rain,Rain,Rain,Rain,0.0,0.0,0.0,0.0,11.589403973509937,2020-06-02,2,1,Tuesday,2,6,154,2,23,274.2,Rain,0
2020-06-02 03:00:00,87.41721854304633,14.569536423841056,11.920529801324504,11.589403973509937,275.37,274.97,274.49,274.2,Rain,Rain,Rain,Rain,0.0,0.0,0.0,0.0,10.59602649006623,2020-06-02,3,1,Tuesday,2,6,154,2,23,274.07,Rain,0
2020-06-02 04:00:00,61.92052980132448,11.920529801324504,11.589403973509937,10.59602649006623,275.3,274.49,274.2,274.07,Rain,Rain,Rain,Rain,1.0,0.0,0.0,0.0,11.188811188811192,2020-06-02,4,1,Tuesday,2,6,154,2,23,274.06,Rain,0
2020-06-02 05:00:00,32.11920529801324,11.589403973509937,10.59602649006623,11.188811188811192,274.9,274.2,274.07,274.06,Rain,Rain,Rain,Rain,0.0,0.0,0.0,0.0,11.589403973509931,2020-06-02,5,1,Tuesday,2,6,154,2,23,274.23,Rain,0
2020-06-02 06:00:00,18.874172185430474,10.59602649006623,11.188811188811192,11.589403973509931,275.14,274.07,274.06,274.23,Rain,Rain,Rain,Rain,0.0,0.0,0.0,0.0,18.21192052980132,2020-06-02,6,1,Tuesday,2,6,154,2,23,273.86,Mist,0
2020-06-02 07:00:00,14.569536423841056,11.188811188811192,11.589403973509931,18.21192052980132,274.97,274.06,274.23,273.86,Rain,Rain,Rain,Mist,0.0,0.0,0.0,0.0,27.15231788079468,2020-06-02,7,1,Tuesday,2,6,154,2,23,273.56,Mist,0
2020-06-02 08:00:00,11.920529801324504,11.589403973509931,18.21192052980132,27.15231788079468,274.49,274.23,273.86,273.56,Rain,Rain,Mist,Mist,0.0,0.0,0.0,0.0,45.36423841059604,2020-06-02,8,1,Tuesday,2,6,154,2,23,273.83,Mist,0
2020-06-02 09:00:00,11.589403973509937,18.21192052980132,27.15231788079468,45.36423841059604,274.2,273.86,273.56,273.83,Rain,Mist,Mist,Mist,0.0,0.0,0.0,1.0,62.58278145695364,2020-06-02,9,1,Tuesday,2,6,154,2,23,273.93,Mist,0
2020-06-02 10:00:00,10.59602649006623,27.15231788079468,45.36423841059604,62.58278145695364,274.07,273.56,273.83,273.93,Rain,Mist,Mist,Mist,0.0,0.0,1.0,2.0,69.86754966887419,2020-06-02,10,1,Tuesday,2,6,154,2,23,274.33,Mist,0
