;date;occupancy_rate
0;2020-12-31 23:00:00;0.96
1;2021-01-01 00:00:00;4.73
2;2021-01-01 01:00:00;4.69
3;2021-01-01 02:00:00;4.69
4;2021-01-01 03:00:00;4.69
5;2021-01-01 04:00:00;4.06
6;2021-01-01 05:00:00;0.67
7;2021-01-01 06:00:00;2.2
8;2021-01-01 07:00:00;4.61
9;2021-01-01 08:00:00;4.88
10;2021-01-01 09:00:00;4.64
11;2021-01-01 10:00:00;3.75
12;2021-01-01 11:00:00;3.17
13;2021-01-01 12:00:00;3.99
14;2021-01-01 13:00:00;5.82
15;2021-01-01 14:00:00;5.58
16;2021-01-01 15:00:00;4.32
17;2021-01-01 16:00:00;3.03
18;2021-01-01 17:00:00;2.45
19;2021-01-01 18:00:00;2.92
20;2021-01-01 19:00:00;3.94
21;2021-01-01 20:00:00;4.15
22;2021-01-01 21:00:00;3.35
23;2021-01-01 22:00:00;2.57
24;2021-01-01 23:00:00;2.4
25;2021-01-02 00:00:00;3.99
26;2021-01-02 01:00:00;3.91
27;2021-01-02 02:00:00;3.91
28;2021-01-02 03:00:00;3.91
29;2021-01-02 04:00:00;4.43
30;2021-01-02 05:00:00;3.42
31;2021-01-02 06:00:00;3.97
32;2021-01-02 07:00:00;4.76
33;2021-01-02 08:00:00;5.31
34;2021-01-02 09:00:00;5.83
35;2021-01-02 10:00:00;6.64
36;2021-01-02 11:00:00;7.18
37;2021-01-02 12:00:00;8.2
38;2021-01-02 13:00:00;8.66
39;2021-01-02 14:00:00;8.21
40;2021-01-02 15:00:00;6.55
41;2021-01-02 16:00:00;5.88
42;2021-01-02 17:00:00;5.47
43;2021-01-02 18:00:00;4.45
44;2021-01-02 19:00:00;3.8
45;2021-01-02 20:00:00;2.48
46;2021-01-02 21:00:00;2.6
47;2021-01-02 22:00:00;2.54
48;2021-01-02 23:00:00;2.34
49;2021-01-03 00:00:00;5.41
50;2021-01-03 01:00:00;5.47
51;2021-01-03 02:00:00;5.47
52;2021-01-03 03:00:00;5.47
53;2021-01-03 04:00:00;5.03
54;2021-01-03 05:00:00;2.87
55;2021-01-03 06:00:00;3.8
56;2021-01-03 07:00:00;4.06
57;2021-01-03 08:00:00;4.53
58;2021-01-03 09:00:00;5.54
59;2021-01-03 10:00:00;7.09
60;2021-01-03 11:00:00;7.59
61;2021-01-03 12:00:00;6.14
62;2021-01-03 13:00:00;5.48
63;2021-01-03 14:00:00;6.22
64;2021-01-03 15:00:00;6.18
65;2021-01-03 16:00:00;5.35
66;2021-01-03 17:00:00;3.8
67;2021-01-03 18:00:00;2.49
68;2021-01-03 19:00:00;2.67
69;2021-01-03 20:00:00;2.42
70;2021-01-03 21:00:00;2.34
71;2021-01-03 22:00:00;2.42
72;2021-01-03 23:00:00;2.34
73;2021-01-04 00:00:00;5.72
74;2021-01-04 01:00:00;5.49
75;2021-01-04 02:00:00;5.47
76;2021-01-04 03:00:00;6.21
77;2021-01-04 04:00:00;4.73
78;2021-01-04 05:00:00;11.8
79;2021-01-04 06:00:00;27.43
80;2021-01-04 07:00:00;42.68
81;2021-01-04 08:00:00;47.94
82;2021-01-04 09:00:00;48.3
83;2021-01-04 10:00:00;50.13
84;2021-01-04 11:00:00;45.12
85;2021-01-04 12:00:00;43.44
86;2021-01-04 13:00:00;47.23
87;2021-01-04 14:00:00;47.1
88;2021-01-04 15:00:00;40.36
89;2021-01-04 16:00:00;25.09
90;2021-01-04 17:00:00;14.13
91;2021-01-04 18:00:00;6.76
92;2021-01-04 19:00:00;4.58
93;2021-01-04 20:00:00;3.55
94;2021-01-04 21:00:00;3.65
95;2021-01-04 22:00:00;4.0
96;2021-01-04 23:00:00;3.28
97;2021-01-05 00:00:00;3.12
98;2021-01-05 01:00:00;3.12
99;2021-01-05 02:00:00;3.12
100;2021-01-05 03:00:00;3.12
101;2021-01-05 04:00:00;4.09
102;2021-01-05 05:00:00;10.27
103;2021-01-05 06:00:00;24.21
104;2021-01-05 07:00:00;39.87
105;2021-01-05 08:00:00;47.28
106;2021-01-05 09:00:00;51.87
107;2021-01-05 10:00:00;53.31
108;2021-01-05 11:00:00;50.66
109;2021-01-05 12:00:00;52.92
110;2021-01-05 13:00:00;51.24
111;2021-01-05 14:00:00;51.84
112;2021-01-05 15:00:00;48.56
113;2021-01-05 16:00:00;36.98
114;2021-01-05 17:00:00;22.05
115;2021-01-05 18:00:00;12.36
116;2021-01-05 19:00:00;6.53
117;2021-01-05 20:00:00;4.45
118;2021-01-05 21:00:00;3.91
119;2021-01-05 22:00:00;2.89
120;2021-01-05 23:00:00;2.38
121;2021-01-06 00:00:00;7.12
122;2021-01-06 01:00:00;7.03
123;2021-01-06 02:00:00;7.18
124;2021-01-06 03:00:00;7.78
125;2021-01-06 04:00:00;5.96
126;2021-01-06 05:00:00;9.42
127;2021-01-06 06:00:00;22.5
128;2021-01-06 07:00:00;38.82
129;2021-01-06 08:00:00;43.66
130;2021-01-06 09:00:00;46.51
131;2021-01-06 10:00:00;50.05
132;2021-01-06 11:00:00;49.39
133;2021-01-06 12:00:00;47.7
134;2021-01-06 13:00:00;48.19
135;2021-01-06 14:00:00;47.81
136;2021-01-06 15:00:00;42.19
137;2021-01-06 16:00:00;31.01
138;2021-01-06 17:00:00;20.29
139;2021-01-06 18:00:00;11.6
140;2021-01-06 19:00:00;5.77
141;2021-01-06 20:00:00;3.91
142;2021-01-06 21:00:00;3.91
143;2021-01-06 22:00:00;3.91
144;2021-01-06 23:00:00;3.91
145;2021-01-07 00:00:00;8.61
146;2021-01-07 01:00:00;8.59
147;2021-01-07 02:00:00;8.59
148;2021-01-07 03:00:00;8.77
149;2021-01-07 04:00:00;6.83
150;2021-01-07 05:00:00;14.7
151;2021-01-07 06:00:00;29.91
152;2021-01-07 07:00:00;45.4
153;2021-01-07 08:00:00;49.68
154;2021-01-07 09:00:00;52.74
155;2021-01-07 10:00:00;51.29
156;2021-01-07 11:00:00;51.38
157;2021-01-07 12:00:00;51.52
158;2021-01-07 13:00:00;52.29
159;2021-01-07 14:00:00;48.02
160;2021-01-07 15:00:00;44.72
161;2021-01-07 16:00:00;31.62
162;2021-01-07 17:00:00;18.09
163;2021-01-07 18:00:00;5.75
164;2021-01-07 19:00:00;4.27
165;2021-01-07 20:00:00;4.15
166;2021-01-07 21:00:00;3.29
167;2021-01-07 22:00:00;3.18
168;2021-01-07 23:00:00;3.12
169;2021-01-08 00:00:00;6.86
170;2021-01-08 01:00:00;7.03
171;2021-01-08 02:00:00;7.03
172;2021-01-08 03:00:00;7.03
173;2021-01-08 04:00:00;4.27
174;2021-01-08 05:00:00;8.79
175;2021-01-08 06:00:00;22.48
176;2021-01-08 07:00:00;41.3
177;2021-01-08 08:00:00;49.53
178;2021-01-08 09:00:00;50.81
179;2021-01-08 10:00:00;51.5
180;2021-01-08 11:00:00;50.78
181;2021-01-08 12:00:00;56.83
182;2021-01-08 13:00:00;61.14
183;2021-01-08 14:00:00;59.65
184;2021-01-08 15:00:00;54.13
185;2021-01-08 16:00:00;43.61
186;2021-01-08 17:00:00;26.72
187;2021-01-08 18:00:00;14.65
188;2021-01-08 19:00:00;7.42
189;2021-01-08 20:00:00;6.53
190;2021-01-08 21:00:00;5.67
191;2021-01-08 22:00:00;5.47
192;2021-01-08 23:00:00;4.99
193;2021-01-09 00:00:00;6.6
194;2021-01-09 01:00:00;7.03
195;2021-01-09 02:00:00;7.03
196;2021-01-09 03:00:00;6.36
197;2021-01-09 04:00:00;4.88
198;2021-01-09 05:00:00;7.94
199;2021-01-09 06:00:00;11.68
200;2021-01-09 07:00:00;17.45
201;2021-01-09 08:00:00;22.19
202;2021-01-09 09:00:00;25.1
203;2021-01-09 10:00:00;27.14
204;2021-01-09 11:00:00;30.11
205;2021-01-09 12:00:00;32.98
206;2021-01-09 13:00:00;31.43
207;2021-01-09 14:00:00;29.7
208;2021-01-09 15:00:00;24.21
209;2021-01-09 16:00:00;15.31
210;2021-01-09 17:00:00;12.91
211;2021-01-09 18:00:00;9.94
212;2021-01-09 19:00:00;7.71
213;2021-01-09 20:00:00;8.0
214;2021-01-09 21:00:00;6.4
215;2021-01-09 22:00:00;6.44
216;2021-01-09 23:00:00;5.1
217;2021-01-10 00:00:00;10.16
218;2021-01-10 01:00:00;10.16
