,12h,24h,7d,date
0,10.525499,,,2021-05-27 06:00:00
1,15.416448,,,2021-05-27 07:00:00
2,25.10707,,,2021-05-27 08:00:00
3,40.52741,,,2021-05-27 09:00:00
4,60.47973,,,2021-05-27 10:00:00
5,74.21103,,,2021-05-27 11:00:00
6,81.069305,,,2021-05-27 12:00:00
7,79.601074,,,2021-05-27 13:00:00
8,79.21211,,,2021-05-27 14:00:00
9,82.61343,,,2021-05-27 15:00:00
10,84.03506,,,2021-05-27 16:00:00
11,75.13536,,,2021-05-27 17:00:00
12,62.879112,59.58064,,2021-05-27 18:00:00
13,51.2775,47.626724,,2021-05-27 19:00:00
14,34.790977,39.059937,,2021-05-27 20:00:00
15,32.93204,32.825294,,2021-05-27 21:00:00
16,25.297327,24.125292,,2021-05-27 22:00:00
17,17.495796,17.581875,,2021-05-27 23:00:00
18,14.082476,14.553756,,2021-05-28 00:00:00
19,11.995317,11.716823,,2021-05-28 01:00:00
20,9.588872,9.22749,,2021-05-28 02:00:00
21,8.99734,9.018334,,2021-05-28 03:00:00
22,9.01691,9.039592,,2021-05-28 04:00:00
23,9.864103,9.90632,,2021-05-28 05:00:00
24,11.778653,12.231642,,2021-05-28 06:00:00
25,16.032412,16.140877,,2021-05-28 07:00:00
26,25.38292,25.475336,,2021-05-28 08:00:00
27,39.793236,39.709938,,2021-05-28 09:00:00
28,64.63152,64.938835,,2021-05-28 10:00:00
29,78.013214,79.3569,,2021-05-28 11:00:00
30,83.793976,83.24608,,2021-05-28 12:00:00
31,80.225136,81.85781,,2021-05-28 13:00:00
32,80.98721,81.27619,,2021-05-28 14:00:00
33,82.34798,84.12787,,2021-05-28 15:00:00
34,85.35206,84.67948,,2021-05-28 16:00:00
35,75.56191,74.34975,,2021-05-28 17:00:00
36,60.405388,60.405388,,2021-05-28 18:00:00
37,50.436096,51.868446,,2021-05-28 19:00:00
38,49.570736,49.570736,,2021-05-28 20:00:00
39,54.293297,54.293297,,2021-05-28 21:00:00
40,51.716187,50.07617,,2021-05-28 22:00:00
41,38.36173,38.36173,,2021-05-28 23:00:00
42,21.305185,21.305185,,2021-05-29 00:00:00
43,14.419888,14.63733,,2021-05-29 01:00:00
44,10.827606,11.085547,,2021-05-29 02:00:00
45,9.32468,9.460906,,2021-05-29 03:00:00
46,8.625382,9.438259,,2021-05-29 04:00:00
47,8.537442,9.015832,,2021-05-29 05:00:00
48,10.490154,10.364502,,2021-05-29 06:00:00
49,14.280759,14.075087,,2021-05-29 07:00:00
50,18.503578,18.449554,,2021-05-29 08:00:00
51,19.006,29.427855,,2021-05-29 09:00:00
